,city,cloudiness,country,humidity,latitude,longitude,temp_F,windspeed_MPH
351,Chokurdakh,0,RU,34,70.62,147.9,-22.66,7.38
352,Non Sung,88,TH,88,15.18,102.26,75.2,5.82
353,Douglas,1,US,28,31.51,-82.85,73.76,12.75
354,Tevriz,0,RU,71,57.51,72.4,6.69,2.46
355,Gobabis,76,NA,88,-22.45,18.97,68.0,3.36
356,Lompoc,90,US,81,34.64,-120.46,55.85,7.38
357,Bubaque,0,GW,88,11.28,-15.83,77.0,8.05
358,Harper,80,LR,99,4.38,-7.71,82.02,6.93
359,Luganville,92,VU,100,-15.51,167.18,80.22,4.7
360,Tiznit,0,MA,85,29.7,-9.73,56.01,10.29
361,Bangassou,44,CF,90,4.74,22.82,73.02,1.68
362,Port Macquarie,75,AU,100,-31.43,152.91,68.0,6.93
363,East Wenatchee Bench,1,US,30,47.43,-120.28,56.01,10.29
364,Norman Wells,90,CA,79,65.28,-126.83,21.2,9.17
365,Camocim,8,BR,83,-2.9,-40.84,78.15,8.72
366,Iqaluit,20,CA,64,63.75,-68.52,-0.41,17.22
367,Bonavista,36,CA,89,48.65,-53.11,30.09,19.8
368,Trairi,92,BR,100,-3.28,-39.27,82.92,13.76
369,Fukuma,75,JP,87,33.77,130.47,43.3,6.93
370,Inuvik,12,CA,84,68.36,-133.71,6.46,4.7
371,Caohai,92,CN,100,26.87,104.28,38.82,3.69
372,Salalah,0,OM,46,17.01,54.1,73.4,4.7
373,Barra da Estiva,76,BR,84,-13.63,-41.33,70.77,3.69
374,Marienburg,20,SR,94,5.88,-55.04,77.0,17.45
375,Burnie,0,AU,100,-41.05,145.91,58.53,22.15
376,Aligudarz,0,IR,69,33.4,49.69,24.42,2.57
377,Angoram,0,PG,74,-4.06,144.07,84.18,3.58
378,Soyo,44,AO,93,-6.13,12.37,75.72,2.68
379,Aktau,0,KZ,87,43.65,51.16,42.8,13.42
380,Sibolga,36,ID,100,1.74,98.78,67.35,1.34
381,Lima,32,PE,79,-12.06,-77.04,65.19,2.01
382,Rocha,0,UY,62,-34.48,-54.34,62.22,12.41
383,Tsogni,92,GA,100,-2.79,10.1,80.58,1.57
384,Iquitos,75,PE,83,-3.75,-73.25,80.6,4.7
385,Patea,12,NZ,65,-39.76,174.48,72.21,5.59
386,Rybnaya Sloboda,0,RU,65,55.46,50.14,5.0,8.95
387,Guayaramerin,12,BO,87,-10.82,-65.36,76.44,2.13
